JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456113.012153,10.1816,0.0030,,I,SPET,,114,118,8095AKK,,0,1.033,Z,11.3748,11.8346,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.013125,12.6527,0.0049,,V,SPET,,114,118,8095AKK,,0,1.032,Z,11.6761,12.0776,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.014028,10.9739,0.0013,,R,SPET,,114,118,8095AKK,,0,1.031,Z,10.9484,11.4175,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.014919,10.1761,0.0031,,I,SPET,,114,118,8095AKK,,0,1.030,Z,11.3462,11.8153,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.46911,12.725,0.004,,V,ATE,,118,137,8064AX,,0,2.167,Z,,13.727,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.47070,12.708,0.005,,V,ATE,,118,137,8064AX,,0,2.168,Z,,13.724,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.47221,12.723,0.026,,V,ATE,,118,137,8064AX,,0,2.168,Z,,13.709,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.47373,12.737,0.022,,V,ATE,,118,137,8064AX,,0,2.169,Z,,13.723,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.47521,12.722,0.028,,V,ATE,,118,137,8064AX,,0,2.170,Z,,13.738,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.47673,12.718,0.022,,V,ATE,,118,137,8064AX,,0,2.172,Z,,13.748,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.47825,12.733,0.019,,V,ATE,,118,137,8064AX,,0,2.174,Z,,13.719,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.79091,12.620,0.052,,V,PKV,,Ensemble.  N=4,118,8069DTZ," 	30 sec. exp. with Sierra Stars 24&quot;. ",0,,Z,,11.792,,N SGR 2012 NO. 3,AAVSO,STD,,,,
2456113.978819,11.0629,0.0013,,R,SPET,,114,118,8176YZ,,0,1.084,Z,10.8984,11.3657,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.979711,10.2882,0.0029,,I,SPET,,114,118,8176YZ,,0,1.082,Z,11.2981,11.7598,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.98066,13.7606,0.0121,,B,SPET,,114,118,8176YZ,,0,1.080,Z,12.3549,12.6675,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.981921,11.0587,0.0021,,R,SPET,,114,118,8176YZ,,0,1.077,Z,10.8977,11.3697,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.982824,10.2840,0.0029,,I,SPET,,114,118,8176YZ,,0,1.075,Z,11.2973,11.7567,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.983785,12.7057,0.0040,,V,SPET,,114,118,8176YZ,,0,1.073,Z,11.4990,11.9022,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.984688,11.0578,0.0012,,R,SPET,,114,118,8176YZ,,0,1.071,Z,10.8958,11.3695,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.98559,10.2793,0.0039,,I,SPET,,114,118,8176YZ,,0,1.070,Z,11.3006,11.7613,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.986563,12.6856,0.0037,,V,SPET,,114,118,8176YZ,,0,1.068,Z,11.5036,11.9068,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.987454,11.0527,0.0012,,R,SPET,,114,118,8176YZ,,0,1.066,Z,10.8925,11.3649,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.988368,10.2791,0.0028,,I,SPET,,114,118,8176YZ,,0,1.064,Z,11.3066,11.7665,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.989329,12.6959,0.0038,,V,SPET,,114,118,8176YZ,,0,1.062,Z,11.4973,11.9112,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.99022,11.0513,0.0012,,R,SPET,,114,118,8176YZ,,0,1.061,Z,10.8953,11.3681,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.991123,10.2821,0.0028,,I,SPET,,114,118,8176YZ,,0,1.059,Z,11.2979,11.7580,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.992083,12.7002,0.0039,,V,SPET,,114,118,8176YZ,,0,1.057,Z,11.5064,11.9095,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.992986,11.0490,0.0012,,R,SPET,,114,118,8176YZ,,0,1.056,Z,10.8957,11.3652,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.993877,10.2772,0.0028,,I,SPET,,114,118,8176YZ,,0,1.054,Z,11.3024,11.7586,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.99485,12.6916,0.0036,,V,SPET,,114,118,8176YZ,,0,1.053,Z,11.4933,11.8950,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.995752,11.0513,0.0021,,R,SPET,,114,118,8176YZ,,0,1.051,Z,10.8940,11.3669,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.996644,10.2761,0.0028,,I,SPET,,114,118,8176YZ,,0,1.050,Z,11.3034,11.7602,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.997616,12.6934,0.0038,,V,SPET,,114,118,8176YZ,,0,1.048,Z,11.5030,11.9092,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.998519,11.0454,0.0012,,R,SPET,,114,118,8176YZ,,0,1.047,Z,10.8980,11.3648,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.999433,10.2775,0.0039,,I,SPET,,114,118,8176YZ,,0,1.046,Z,11.3023,11.7632,,PNV J17522579-2126215,AAVSO,STD,,,,
2456114.000394,12.6851,0.0038,,V,SPET,,114,118,8176YZ,,0,1.044,Z,11.4949,11.8994,,PNV J17522579-2126215,AAVSO,STD,,,,
2456114.001308,11.0468,0.0022,,R,SPET,,114,118,8176YZ,,0,1.043,Z,10.8947,11.3667,,PNV J17522579-2126215,AAVSO,STD,,,,
2456114.002199,10.2754,0.0027,,I,SPET,,114,118,8176YZ,,0,1.042,Z,11.3071,11.7648,,PNV J17522579-2126215,AAVSO,STD,,,,
2456114.003171,12.6841,0.0038,,V,SPET,,114,118,8176YZ,,0,1.040,Z,11.5007,11.9124,,PNV J17522579-2126215,AAVSO,STD,,,,
2456114.004074,11.0425,0.0011,,R,SPET,,114,118,8176YZ,,0,1.039,Z,10.9004,11.3713,,PNV J17522579-2126215,AAVSO,STD,,,,
2456114.004977,10.2784,0.0028,,I,SPET,,114,118,8176YZ,,0,1.038,Z,11.2995,11.7585,,PNV J17522579-2126215,AAVSO,STD,,,,
2456114.005938,12.6759,0.0048,,V,SPET,,114,118,8176YZ,,0,1.037,Z,11.4971,11.9019,,PNV J17522579-2126215,AAVSO,STD,,,,
2456114.00684,11.0443,0.0012,,R,SPET,,114,118,8176YZ,,0,1.036,Z,10.8975,11.3678,,PNV J17522579-2126215,AAVSO,STD,,,,
2456114.007743,10.2671,0.0027,,I,SPET,,114,118,8176YZ,,0,1.035,Z,11.3087,11.7656,,PNV J17522579-2126215,AAVSO,STD,,,,
2456114.008715,12.6734,0.0038,,V,SPET,,114,118,8176YZ,,0,1.034,Z,11.4952,11.9011,,PNV J17522579-2126215,AAVSO,STD,,,,
2456114.009618,11.0430,0.0012,,R,SPET,,114,118,8176YZ,,0,1.033,Z,10.9000,11.3699,,PNV J17522579-2126215,AAVSO,STD,,,,
2456114.010509,10.2724,0.0027,,I,SPET,,114,118,8176YZ,,0,1.032,Z,11.3056,11.7624,,PNV J17522579-2126215,AAVSO,STD,,,,
2456114.011481,12.6734,0.0036,,V,SPET,,114,118,8176YZ,,0,1.031,Z,11.4975,11.8986,,PNV J17522579-2126215,AAVSO,STD,,,,
2456114.012384,11.0401,0.0012,,R,SPET,,114,118,8176YZ,,0,1.030,Z,10.8940,11.3622,,PNV J17522579-2126215,AAVSO,STD,,,,
2456114.013287,10.2684,0.0038,,I,SPET,,114,118,8176YZ,,0,1.029,Z,11.3004,11.7593,,PNV J17522579-2126215,AAVSO,STD,,,,
2456114.014248,12.6798,0.0038,,V,SPET,,114,118,8176YZ,,0,1.028,Z,11.4945,11.9037,,PNV J17522579-2126215,AAVSO,STD,,,,
2456114.01515,11.0389,0.0022,,R,SPET,,114,118,8176YZ,,0,1.027,Z,10.8891,11.3598,,PNV J17522579-2126215,AAVSO,STD,,,,
2456114.016053,10.2706,0.0028,,I,SPET,,114,118,8176YZ,,0,1.026,Z,11.2967,11.7521,,PNV J17522579-2126215,AAVSO,STD,,,,
2456114.379456,12.712,0.01,,V,SBX,,ensemble,,8086AIN,,0,2.431,Z,,,,PNV J17522579-2126215,AAVSO,STD,,,,
2456114.63744,12.914,0.007,,V,PKV,,Ensemble.  N=3,114,8086BCQ," 	30 sec. exp. with Sierra Stars 24&quot;. ",0,,Z,,11.402,,N SGR 2012 NO. 3,AAVSO,STD,,,,
